time,x_omega,y_omega,z_omega,temp,index,x_angle_1,y_angle_1,z_angle_1,x_angle_2,y_angle_2,z_angle_2
0.26,-0.005231356,-0.167665783,0.08459791,27.5,2516,5.18E-05,0.000328691,-0.000704922,-0.000546235,0.001540663,-0.000229235
0.262,-0.003637199,-0.167141739,0.097340613,27.5,2517,4.92E-05,-9.68E-06,-0.000515929,-0.000556698,0.001205332,-6.00392E-05
0.264,-0.005762741,-0.16347343,0.109552371,27.5,2518,0.000042488,-0.000340719,-0.000302512,-0.000563972,0.000871048,0.000134642
0.266,0.001145271,-0.153516592,0.11486183,27.5,2519,4.95E-05,-0.000651842,-7.85E-05,-0.000575497,0.000544101,0.000353747
0.268,-0.003105813,-0.13674718,0.121233182,27.5,2520,4.81E-05,-0.000929427,0.000158302,-0.000573207,0.000237068,0.00058347
0.27,-0.004168585,-0.11630946,0.127073588,27.5,2521,0.000044522,-0.001166135,0.000406761,-0.000579418,-3.64264E-05,0.000825937
0.272,-0.001511657,-0.092203431,0.121233182,27.5,2522,4.63E-05,-0.001354632,0.000643539,-0.000587756,-0.000269045,0.001080084
0.274,-0.003637199,-0.064953137,0.118578452,27.5,2523,4.37E-05,-0.001488628,0.000875008,-0.000590779,-0.000453452,0.00132255
0.276,-0.003105813,-0.038226887,0.110614263,27.5,2524,4.23E-05,-0.001569172,0.001090549,-0.000598053,-0.000583358,0.001559707
0.278,0.002208042,-0.01307277,0.094685883,27.5,2525,5.15E-05,-0.001599407,0.001274233,-0.000604265,-0.000659812,0.001780936
0.28,0.002208042,0.006840907,0.077164666,27.5,2526,6.07E-05,-0.001589815,0.001422874,-0.000599849,-0.000685958,0.001970308
0.282,0.001676657,0.020990098,0.052210205,27.5,2527,6.88E-05,-0.001551925,0.001521607,-0.000595433,-0.000672276,0.002124637
0.284,0.0000825,0.033043113,0.023008177,27.5,2528,7.37E-05,-0.001489929,0.001561936,-0.000592079,-0.000630296,0.002229057
0.286,-0.00469997,0.044048039,-0.009910474,27.5,2529,6.91E-05,-0.001405922,0.001536427,-0.000591914,-0.00056421,0.002275074
0.288,-0.004168585,0.055577009,-0.036457772,27.5,2530,6.55E-05,-0.001298858,0.001457824,-0.000601314,-0.000476113,0.002255253
0.29,-0.010013826,0.069202156,-0.065128855,27.5,2531,5.02E-05,-0.001164543,0.001321878,-0.000609652,-0.000364959,0.002182337
0.292,-0.007356898,0.07601473,-0.091676153,27.5,2532,4.03E-05,-0.001016603,0.001132838,-0.000629679,-0.000226555,0.002052079
0.294,-0.003637199,0.084399436,-0.113444938,27.5,2533,3.78E-05,-0.000851894,0.000900261,-0.000644393,-7.45256E-05,0.001868727
0.296,-0.003637199,0.091212009,-0.132558993,27.5,2534,3.53E-05,-0.000673559,0.000629455,-0.000651667,9.42732E-05,0.001641837
0.298,-0.002043042,0.100644803,-0.142116021,27.5,2535,3.60E-05,-0.000476359,0.000339535,-0.000658942,0.000276697,0.001376719
0.3,-0.001511657,0.101168847,-0.153796832,27.5,2536,3.77E-05,-0.000278111,2.63E-05,-0.000663028,0.000477987,0.001092487
0.302,0.0000825,0.104313112,-0.153265886,27.5,2537,4.27E-05,-7.36E-05,-0.000285966,-0.000666051,0.000680325,0.000784894
0.304,-0.002043042,0.109553553,-0.143177913,27.5,2538,4.33E-05,0.000141443,-0.000578009,-0.000665886,0.000888951,0.000478362
0.306,0.000613886,0.113221862,-0.133089939,27.5,2539,4.93E-05,0.000363798,-0.000849877,-0.000669972,0.001108058,0.000192006
0.308,-0.000448886,0.115842082,-0.12247102,27.5,2540,5.32E-05,0.000591392,-0.001100506,-0.000668745,0.001334502,-7.41739E-05
0.31,-0.001511657,0.116366127,-0.101764127,27.5,2541,0.000054945,0.000820035,-0.001309722,-0.000669642,0.001566186,-0.000319116
0.312,0.004333585,0.116366127,-0.079464396,27.5,2542,6.84E-05,0.001048678,-0.001474339,-0.000672666,0.001798918,-0.000522644
0.314,0.001676657,0.110077597,-0.059819395,27.5,2543,7.65E-05,0.001264743,-0.001599665,-0.000663998,0.00203165,-0.000681573
0.316,0.001145271,0.099072671,-0.034333988,27.5,2544,0.000083551,0.001458799,-0.00167402,-0.000660645,0.002251805,-0.000801212
