x_angle_1,y_angle_1,z_angle_1
0.20500000000000002,2.75385,-8.68492
0.191,2.97554,-8.23916
0.262,3.2496400000000003,-7.6235
0.29,3.43989,-6.89102
0.296,3.61966,-6.073600000000001
0.34600000000000003,3.66317,-5.160609999999999
0.39499999999999996,3.71717,-4.19452
0.34876,3.59299,-3.36648
0.345,3.4059299999999997,-2.57029
0.37302,3.0721299999999996,-1.94401
0.46499999999999997,2.54968,-1.47701
0.493,1.8595300000000001,-1.13744
0.606,1.03314,-0.957
0.623,0.039,-1.0529600000000001
0.652,-0.9450000000000001,-1.2761900000000002
0.669,-2.05394,-1.77551
0.6329999999999999,-3.03755,-2.3597900000000003
0.587,-3.9897199999999997,-3.07149
0.583,-4.8266,-3.7831900000000003
0.5690000000000001,-5.51674,-4.32499
0.533,-5.90294,-4.69689
0.5399999999999999,-6.05856,-4.803310000000001
0.5569999999999999,-5.889270000000001,-4.69736
0.553,-5.46844,-4.38964
0.518,-4.73319,-3.89078
0.525,-3.81976,-3.21141
0.5950000000000001,-2.63383,-2.42584
0.5700000000000001,-1.3535700000000002,-1.5977999999999999
0.545,0.0315,-0.8550000000000001
0.5305300000000001,1.44801,-0.14300000000000002
0.527,2.8330800000000003,0.302
0.576,4.12382,0.568
0.6679999999999999,5.30976,0.525
0.792,6.28607,0.249
0.788,6.94796,-0.357
0.763,7.263979999999999,-1.1536600000000001
0.759,7.40183,-2.13083
0.70189,7.26717,-3.25667
0.687,6.87049,-4.49932
0.62,6.26419,-5.657019999999999
0.5950000000000001,5.57405,-6.7828599999999994
0.517,4.73717,-7.8237499999999995
0.523,4.01559,-8.49297
0.5619999999999999,3.2416,-8.87549
0.611,2.43616,-9.01377
0.618,1.73553,-8.982149999999999
0.593,1.13972,-8.65319
0.611,0.523,-8.14372
0.54296,0.0319,-7.474959999999999
0.518,-0.354,-6.657539999999999
0.588,-0.583,-5.75516
0.617,-0.686,-4.7466
0.708,-0.74777,-3.7061800000000003
0.7150000000000001,-0.841,-2.6870000000000003
0.648,-1.00661,-1.78462
0.63315,-1.14127,-0.914
0.5974499999999999,-1.46458,-0.235
0.5399999999999999,-1.81934,0.28500000000000003
0.441,-2.2474600000000002,0.625
0.39499999999999996,-2.6441399999999997,0.805
0.295,-3.01986,0.80499
0.26999999999999996,-3.31173,0.66671
0.362,-3.44639,0.327
0.443,-3.52865,-0.14100000000000001
0.461,-3.53753,-0.799
0.42500000000000004,-3.45209,-1.62791
0.453,-3.19896,-2.46704
0.364,-2.80957,-3.42298
0.35,-2.2524900000000003,-4.4851
0.293,-1.58012,-5.525989999999999
0.353,-0.6559999999999999,-6.4288300000000005
0.338,0.28900000000000003,-7.31043
0.345,1.31738,-8.03275
0.35200000000000004,2.37755,-8.627650000000001
0.359,3.3328999999999995,-9.13759
0.323,4.25681,-9.43515
0.309,5.15976,-9.594669999999999
